Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
34,"37.   Socialization of medicine means: 

[RJ 2007]","Study of man as a social being in his total environ-

ment","Provision  of  medical  services  and  professional 
education by the state but operated and regulated by 
the government","Provision  of  medical  services  and  professional 
education by the state but operated and regulated by 
professional groups rather than by the government",Study of man as a social being in his whole life,,C,no
35,38.	  Benefit	of	socialization	of	medicine	are	all	except:,"It eliminate competition among physicians in search 
[RJ 2007]

of clients",It ensures social equity and universal coverage,"Medical care becomes free for the patients, which is",,,,yes
36,"33.   World Health Day is celebrated on: 

[DNB June 2011]

supported by the state",1st December,31st May,,"Patients  can  get  good  quality  of  treatment  without 

cost

46

mebooksfree.com

Review of Preventive and Social MedicineHistory of Medicine 
 
MULTIPLE CHOICE QUESTIONS

HEALTH AND WELL-BEING",,,yes
37,"1.   Definition of health given by WHO includes which of 
[PGI Dec 01]

the following dimensions:",Social,Physical,Mental,Emotional,Economic,A,yes
38,2.   Standard of Living (WHO) includes all except:,Income,Sanitation and nutrition,Level of provision of health,"Human rights

[AIPGME 2006]",,D,no
39,3.   Living standard of people is best assessed by:,Infant mortality rate,Maternal mortality,Physical quality of life index,"Death rate

[DPG 2011]",,C,no
40,"4.   Human living standards can be compared in different 
[Recent Question 2013]

countries by",HDI,PQLI,HPI,DALY,,A,no
41,"5.   Ottawa Charter of health promotion incorporates all of 
the following key action areas except:   [PGMCET 2015]",Build healthy public policy,Strengthen community action for health,Build social security system,"Reorient health services

HDI AND PQLI",,C,no
42,6.   Human Development Index (HDI) does not include:,Mean years of schooling,Life expectancy at age 1,Real GDP per capita,"Adult literacy rate

[AIPGME 1999]
[AIIMS May 01, May 05]
[Recent Questions 2014]",,B,no
43,"7.   The Physical Quality of the Life Index considers  

  [AIIMS May 2006, AIIMS Nov 2006, AIPGME 2000, 06, 07, 
AIIMS Nov 06, Karnataka 2011, Recent Question 2013,  
Karnataka 2006, 2008, PGI 2008, 2001, DNB 2002, 2005, 
Bihar 2003, UP 2004, AP 1996, 2005, MP 2000, RJ 2005]  

I.  Expectancy of life at birth 
II.  Expectancy of life at age one 
III.  Infant mortality rate 
IV.  Literacy rate  

Of these components:",I alone is correct,"I, III and IV are correct","I, II and III are correct","II, III and IV are correct",,C,no
44,"8.   Minimum  and  Maximum  Values  established  for 
calculation of Life Expectancy index in HDI are:",0 years and 65 years,0 years and 85 years,25 years and 85 years,"0 years and 100 years

[AIPGME 2007]
[Recent Question 2013]",,C,no
45,"9.   Human  Development  Index 

between:",–1 to +1,0 to 1,0 to 3,"1 to 3

(HDI)  values  range 
[AIIMS Jan 2003]",,B,no
46,"10.   PQLI stands for:  

[Karnataka 2004]",Physical quality of life index,Physical quantity of life index,Physiological quality of life index,Psychological quality of life index,,A,no
47,11.   HDI includes:,Infant mortality rate,Life expectancy at birth,Life expectancy at 1 yr,Adult literacy rate,"GDP

[PGI Dec 07, June 04]
[DPG 2006]
[PGI May 2011]
[AIIMS May 2015]",B,no
48,"12.   All  of  the  following  are  included  in  Human  develop-

ment index (HDI) except:  

[AIPGME 2011, DNB 2003, Kolkata 2004, Karnataka 2007, 
MP 2005, AI 2000, MH 2007, MH 2002,  
MH 2006, AP 2008, JIPMER 2001]",Life expectancy at birth,Life expectancy at 1 year age,Education,Gross domestic product (GDP),,B,no
49,13.   Not included in the human poverty index is,% of population not surviving up to 40 yrs age,Underweight for age,Occupation,"% population not using safe water supply

[AIIMS May 2013]",,C,no
50,14.   HDI of India is,0.5,0.545,0.505,"0.540

[Recent Question 2013]

60

mebooksfree.com

Review of Preventive and Social MedicineConcepts of Health and Disease",,,yes
51,"15.   Poverty index does not include deprivation of

[DNB June 2010]",Long life,Knowledge,Standard of living,Income,,D,no
52,"16.   In construction of Education Index in HDI which is not 
[AIIMS May 2014]

true?",2/3 adult literacy considered,1/3 gross enrolment considered,"Gross  enrolment  of  secondary  education  is  consid-

ered and not primary education","Minimum and maximum values are used based on 

global data",,C,no
53,"17.   PQLI lies between 

[Recent Question 2014]",0 and 1,0 and 10,0 and 100,"1 and 10

INDICATORS OF HEALTH",,C,no
54,18.   Which of the following is a Mortality Indicator?,Life Expectancy,Notification Rate,DALY,"Bed turn-over ratio

[AIIMS May 1993]",,A,no
55,"19.   Modified  Kuppuswamy  scale  include  all  criteria  for 
[AIPGME 2007]

socioeconomic status except:",Income per capita,Education of head of family,Occupation of head,Income of head,,D,no
56,"20.   Expectation of life, free of disability is known as:",Park’s index,Smith’s index,Sullivan’s index,"Life index

[AIPGME 2006]
[UP 2005]",,C,no
57,21.   Which is the best index for burden of disease?,Case fatality rate,Disability adjusted life years,Dependency ratio,"Morbidity data

[AIIMS June 1197]",,B,no
58,"22.   Which of the following is a measure of the burden of  
disease  in  a  defined  population  and  effectiveness  of  
interventions? 
[AIIMS Nov2001]",Park’s index,Disability adjusted life year,Bed disability days,Activities of daily living index,,B,no
59,"23.   Which  one  of  the  following  is  NOT  a  socioeconomic  
[AIIMS Dec 1997]

indicator?",Literacy rate,Family size,,,,,yes
60,"24.   Most universally accepted indicator of health status of 
whole  population  and  their  socioeconomic  conditions 
among the following is: 
[AIIMS Nov 2001]",MMR,IMR,Life expectancy,Disease notification rates,,B,no
61,25.   Sullivan index indicates:,Life free of disability,Hookworm eggs/gm of stool,Standard of living,"Pregnancy rate per HWY

[AIIMS Dec 1994]",,A,no
62,26.   Virulence of a disease is indicated by:,Proportional mortality rate,Specific mortality rate,Case fatality rate,"Amount of GDP spent on control of disease

[AIPGME 01]",,C,no
63,"27.    All  the  following  indicators  are  used  to  measure 
[DPG 2011]

disability rates in a community except:",Sullivan’s Index,Human Poverty Index,Health Adjusted Life Expectancy,Disability Adjusted Life Year,,B,no
64,28.   Which of the following is true about DALYs?,Life is adjusted for disease,"Premature death is adjusted for disability

[AIPGME 2012]",Life expectancy free of disability,"Years lost to premature death and years lived with 

disability adjusted for severity of disability

[Recent Question 2012]",,D,no
65,"29.   Burden of disease is given by 

 [Recent Question 2013]",Incidence,Crude death rate,Cause specific death rate,Proportional mortality rate,,D,no
66,"30.   In a village with population of 5000, 50 people have a 
disease and 10 of them died. What is case fatality rate?","1% 
[Recent Question 2013] [DNB December 2009]",2%,0.50%,20%,,D,no
67,"31.   Best indicator of availability, utilization and effective-
[Recent Question 2012]

ness of health services",IMR,MMR,Hospital bed occupancy rate,DALY,,A,no
68,"32.   One DALY signifies 

 [DNB December 2010]",1 year of disease free life,1 lost year of healthy life,1 month of bedridden life,"None of these

mebooksfree.com

61

Concepts of Health and DiseaseConcepts of Health and Disease",,B,no
69,"33.   DALE has been replaced by  

[Recent Question 2012]",DALY,QALY,HALE,DFLE,,C,no
70,"34.   Fifty people are suffering from cholera in a population 
of 5000. Out of 50, suffering from cholera, 10 died. But 
the total deaths are 50. What is the death rate?",1 per 1000,5 per 1000,10 per 1000,"20 per 100

[Recent Question 2012]",,C,no
71,35.   Communicability of disease is assessed by,Secondary attack rate,Generation time,Serial interval,"Incubation period

[DNB December 2011]",,A,no
72,"36.   Sullivan index is  

[DNB 2008]",Measures disability,Measures life years adjusted with disability,"Measures life expectancy adjusted without disability 

or free of disability",Measures life expectancy,,C,no
73,"37.   For optimum utilization of health services in a hospital, 
Bed turnover interval should always be  [JIPMER 2014]",Slightly positive,Largely positive,Slightly negative,"Largely negative

[Bihar 2005]

Review Questions",,Slightly positive,Largely positive
74,38.   Health indicators are used for:,Health status of community,Requirement of health needs,Assess rate of infection,To meet basic needs,,A,no
75,39.   DALY is:,Disease – Adjusted Life year,Disability Adjusted Life year,Total fertility rate,Infant mortality rate,,B,no
76,42.   Disability adjusted life year (DALY) Expresses the:,Extent of disability in the population,Expectation of life free of disability,Years of life lost to premature death,"Lost year of life due to premature death and disability

[RJ 2006]

NATURAL HISTORY OF DISEASE",,D,no
77,43.   ‘Silent epidemic’ of the century is:,Coronary artery disease,Chronic liver disease,Chronic obstructive lung disease,"Alzheimer’s disease

[AIPGME 02]",,A,no  lost to premature death
78,"44.   Which  one  of  the  following  does  not  represent  the 

submerged portion of the iceberg?",Diagnosed cases under treatment,Undiagnosed cases,Pre-symptomatic cases,"Carriers sub clinical cases

[AIIMS Jan 1999]",,,
79,"45.   In  “Tip  of  Iceberg  Phenomenon”,  submerged  portion 
[AIIMS Feb 1997]

does not consist of",Latent period,Carriers,Undiagnosed cases,Healthy population,,A,no
80,"46.   Which  of  the  following  is  NOT  true  regarding  patho-
genesis of a disease?  
[AIPGME 2012]",Screening is of no use in changing course of disease,Tertiary prevention is possible,Entry of organism occurs,Includes subclinical cases,,D,no
81,"47.   Web  of  causation  of  disease,  which  statement  is  most 
[Recent Question 2013]

appropriate?",Mostly applicable for common diseases,"Requires complete understanding of all factors asso-

ciated with causation of disease",,,,A,no
82,"40.   Which  of  the  following  is  best  to  compare  the  vital 
[MH 2007]

statistics of countries?",Crude death and birth rates,Age standardized death rate,Age specific death rate,Proportional mortality rate,,,yes
83,41.   Most important health status indicator of a country:,Life expectancy at birth,"Maternal mortality rate

[MH 2007]

62

[UP 2008]",Epidemiological ratio,"Helps to suggest ways to interrupt the risk of trans-

mission",,B,no
84,"48.   Transition from increased prevalence of infectious pan-
demic diseases to manmade disease is known as",Paradoxical transition,Reversal of transition,Epidemiological transition,"Demographic transition

[AIIMS November 2012]",,,yes
85,49.   BEINGS Model of disease causation does not include,Spiritual factors,Social factors,Religious factors,"Social factors

[NUPGET 2013]

mebooksfree.com

Review of Preventive and Social MedicineConcepts of Health and Disease",,C,no
86,"50.   Secular trend is best demonstrated by

[DNB December 2010]",Line diagram,Bar graph,Stem-leaf plot,"Box and whisker plots

Review Questions",,C,no
87,51.   Epidemiological triad are all except:,Host,Environmental factors,Agent,"Investigator

[UP 2000]
[Recent Questions 2014]
[RJ 2000]",,A,no
88,"52.   When a child ‘lost’ his hands and unable to do routine 
[UP 2005]

works called as:",Handicap,Disability,Impairment,Battered baby syndrome,,D,no
89,53.   Natural history of disease is best studied by:,Cross sectional study,RCT,Case-control study,"Cohort study

[Kolkata 2004]",,B,no
90,"54.   The period preliminary to the onset of disease in man, 
when the disease agent has not yet entered man but the 
factors favouring its interaction with human host exist 
in the environment is known as:",Incubation period,Pre-pathogenesis period,Pathogenesis period,"Pre-symptomatic period

[MP 2006]

CONTROL OF DISEASE",,D,no
91,"55.   Measures involved in sentinel surveillance includes all 

of the following except:","Identifying missing cases in notification of  diseases   
[DNB 2008, AIPGME 2001, AIIMS Nov 1999]",Identifying new cases of infection,Identifying old and new cases,Identifying cases free of disability,,B,no
92,"56.   Consider the following statements:

  The term ‘disease control’ describes ongoing operations 
[AIIMS November 2014]
[AIPGME 2002]

aimed at reducing the 
1.  
2.   Financial burden to the community
3.   Effects  of  infection  including  both  physical  and 

Incidence of disease 

psychological complications

4.   Duration of disease and its transmission  

of these statements,","1, 2 and 3 are correct","1, 3 and 4 are correct","1, 2 and 4 are correct","1, 2, 3 and 4 are correct",,D,no
93,"57.   All  of  the  following  statements  about  eradication 

programme are true except:","There  is  complete  interruption  of  disease  transmis-

sion in the entire area of the community 

[AIPGME 1995]","Eradication programme is over once the disease has 

been certified as having been eradicated",Case finding is of secondary importance,"The objective is to eliminate the disease to the  extent 

that no new case occurs in the future",,D,no
94,"58.   Continuous scrutiny of factors that determine the occur­
rence and distribution of disease and other condition of 
ill health is the definition of: 
[AIPGME 1996]",Monitoring,Surveillance,Disease control,System analysis,,C,no
95,"59.   Decrease in the incidence of a disease to a level where it 

ceases to be a public health problem is:",Control,Elimination,Eradication,Surveillance,,B,no
96,60.   Disease eliminated from India is /are:,Small pox,Guinea worm disease,"Yaws, Leprosy and Neonatal Tetanus",Measles,"Polio 

[DPG 2007]

[PGI June 08]",A,no
97,61.   Candidates,Malaria,Dracunculiasis,Polio,Measles,"Chicken pox

[PGI June 01]",A,no
98,"62.   Disease eradicated from world:  

[PGI June 03]",Small pox,Guineworm,Polio,Diphtheria,Measles,B,no
99,"63.   Causative agent is present but there is no transmission 
[AIPGME 2012]

is known as:",Elimination,Control,Eradication,"Holoendemic

63

mebooksfree.com

Concepts of Health and DiseaseConcepts of Health and Disease",,A,no
100,64.   Disease elimination is helped by [Recent Question 2013],Herd immunity,Isolation,Quarantine,,,A,no
101,"65.   Zero incidence is  

[Recent Question 2013]",Elimination of disease,Eradication of disease,Elimination of infection,Eradication of infection,,A,no
102,"66.   Analysis of routine measurement is aimed at detecting 
[Recent Question 2012] 
[Recent Question 2013]

changes in environment",Monitoring,Surveillance,Isolation,Evaluation,,A,no
103,67.   All of the following are eradicable diseases except,Tuberculosis,Guineaworm,Poliomyelitis,"Measles

[DNB June 2010]",,A,no
104,68.   Missing cases are detected by,Active surveillance,Passive surveillance,Sentinel surveillance,"Monitoring

[DNB December 2011]
[DPG 2005]",,A,no
105,"69.   Sentinel surveillance is for  

[Recent Question 2012]",Border districts,For malaria surveillance,Effective sanitary surveillance,"Supplementary to routine notification

[Recent Question 2015]",,C,no
106,70.   Surveillance actual targets,Prevent disease,Health planning,Disease eradication,"Disease monitoring

Review Questions",,D,no
107,"71.   To eradicate measles the percentage of population to be 

vaccinated is at least_____%:",70,80,85,"95

[DNB 2006]",,B,no
108,"72.   Leprosy  is  considered  a  public  health  problem  if  the 

prevalence of leprosy is more than:","1 per 10,000","2 per 10,000","5 per 10,000","10 per 10,000

[Bihar 2004]",,B,no
109,73.   Disease elimination means:,Cure of the disease,Preventing the transmission totally,Eradication of the vector,"Complete termination of infective organism

[AP 2000]",,A,no
110,74.   Regarding disease elimination true is:,Prevention of chain of transmission,Extermination of disease agent,There is no disease anywhere on planet,"Reducing the disease to such a level so that it will not 

[MP 2001]

be a major public health problem",,B,no
111,75.   What happens in disease elimination:,Incidence is reduced by 10%,Prevalence is reduced by 10%,Global eradication of disease agent,"Interruption  of  disease  transmission  from  large 

[MP 2006]

geographical areas",,A,no
112,76.   Disease elimination refers to:,Extinction of disease agent,Termination of all disease,Global removal of disease agent,"Regional removal of disease agent

[MP 2007]",,D,no
113,77.   In India which disease is near to elimination:,Tetanus,Rabies,Polio,"Mumps

PREVENTION OF DISEASE

[RJ 2003]",,D,no
114,"78.   All of the following represent Specific protection mode 

of Disease prevention except:","Chemoprophylaxis for meningococcal meningitis 

[AIPGME 2000]",Personal hygiene and Environmental sanitation,Usage of condoms,Iodisation of salt,,C,no
115,"79.   Secondary  level  of  prevention  include  all  of  the 
[AIIMS Jan 2000]

following except:",Health screening for Diabetes Mellitus,Case finding for Falciparum Malaria,Contact tracing for STIs,Reconstructive Surgery in Leprosy,,B,no
116,"80.   In  a  population  to  prevent  coronary  artery  disease 
changing harmful lifestyles by education is referred to 
as: 
[AIIMS May 2001]",High risk strategy,Primary prevention,Secondary prevention,Tertiary prevention,,B,no
117,"81.   In an area with fluoride rich water, the defluoridation of 
water is which level of prevention?  [AIIMS May 1994]",Primary,Secondary,Tertiary,"Primordial

64

mebooksfree.com

Review of Preventive and Social MedicineConcepts of Health and Disease",,B,no
118,"82.   Which  of  the  following  is  an  example  of  Disability 

limitation in poliomyelitis?","Reducing occurrence of polio by immunization 

[AIIMS May 07 and May 2006]","Arranging  for  schooling  of  child  suffering  from 

PRPP",Resting affected limbs in neutral position,Providing calipers for walking,,A,no
119,83.   Which of the following is primordial prevention?,Action taken prior to the onset of disease,"Prevention  of  emergence  of  development  of  risk 

[AIIMS May 1994]

factors","Action taken to remove the possibility that a disease 

will ever occur",Action that halts the progress of a disease,,C,no
120,84.   ‘Disability Limitation’ is mode of intervention for:,Primordial Prevention,Primary Prevention,Secondary Prevention,"Tertiary Prevention

[AIIMS May 2008]
[Recent Question 2013]",,B,no
121,"85.   Which of the following is the most logical sequence? 

[AIIMS Nov 2006] [Recent Question 2013]",Impairment-Disease-Disability-Handicap,Disease-Impairment-Disability-Handicap,Disease-Impairment- Handicap-Disability,Disease-Handicap-Impairment-Disability,,D,no
122,"86.   Pap  smear  test  for  detection  of  carcinoma  of  cervix  is 
[Karnataka 2007]
[Recent Questions 2014]

which level of prevention?",Primordial,Primary,Secondary,Tertiary,,B,no
123,"87.   A person who has lost his foot in an accident and is not 
[Karnataka 2007]

able to walk is an example of:",Disease,Disability,Impairment,Handicap,,C,no
124,"88.   Primary prevention of obesity:  

[DPG 1998]",Low fiber diet,High fiber diet,High cholesterol diet,High intake of protein,,B,no
125,89.   Primordial prevention in coronary heart disease:,Exercise in high risk area,BP monitoring,Salt restriction,Statins,"TMT

[PGI Dec 1997]",B,no
126,90.   Primary prevention of dental caries includes:,Fluridation,"Dental health education    

[PGI June 03]
[PGI Dec 03]",Mass screening,Dental fitting,Teeth extraction,C,no
127,"91.   Which  of  the  following  is  primordial  prevention  for 
[PGI June 05] 

NCD (non communicable disease:",Salt restriction in high NCD area,Smoking cessation in high NCE area,Preservation of traditional diet in low NCD area,Early diagnosis and treatment,Exercise in high NCD area,A,no
128,"92.   Primary prevention:  

[PGI June 05]",Marriage counseling,Early diagnosis and treatment,Pap smear,Self breast examination,Immunization,A,no
129,93.   Vitamin A prophylaxis to a child is:,Health promotion,Specific protection,Primordial prevention,"Secondary prevention

[AIIMS May 2010]",,A,no
130,"94.   Screening of the diseases is which type of prevention? 
[Recent Question 2013]",Primordial,Primary,Secondary,Tertiary,,B,no
131,"95.   Which  of  the  following  is  not  a  primary  prevention 
[DNB December 2011]

strategy?",Breast self examination,Control of tobacco,Radiation protection,Cancer education,,C,no
132,96.   CAD primordial prevention is by,Lifestyle change,Coronary bypass,Treatment of CAD,"None

[Recent Question 2013]",,A,no
133,97.   Quarantine period for yellow fever in India is?,6 days,1 week,10 days,"2 weeks

[Recent Question 2012]
[Recent Question 2013]",,D,no
134,"98.   Prevention of emergence of risk factor is  

[DNB 2007]",Primordial prevention,Primary prevention,Secondary prevention,Tertiary prevention,,A,no
135,"99.   Immunization is 

 [Recent Question 2013, 2014]",Primary prevention,Secondary prevention,Tertiary prevention,"Disability limitation

mebooksfree.com

65

Concepts of Health and DiseaseConcepts of Health and Disease",,A,no
136,100.   Iodized salt in iodine deficiency control programme is,Primary prevention,Secondary prevention,Tertiary prevention,"Primordial prevention

[Recent Question 2012]",,A,no
137,"3.   Screening for cervical cancer 
4.  Changing lifestyles to prevent stress 

  Which are the examples of primordial prevention? 

[UPSC CMS 2015]

 101.  Target group in Secondary prevention",1 and 4,2 and 3,1 and 3,"2 and 4

Review Questions",,A,no
138,"102.   School  health  checkup  comes  under  …………  level  of 
[Recent Question 2012] 

prevention",Primordial,Primary,Secondary,Tertiary,,A,no
139,"103.   Desks  provided  with  table  top  to  prevent  neck  prob-
[DNB December 2010]
[Recent Question 2014]

lems is an example of",Primordial prevention,Primary prevention,Specific protection,Disability limitation,,C,no
140,104.   Childhood obesity prevention is a type of,Primordial prevention,Primary prevention,Secondary prevention,"Tertiary prevention

[JIPMER 2014]",,B,no
141,"105.   Monitoring of blood pressure which type of prevention
[Recent Question 2014]",Primordial,Primary,Secondary,Tertiary,,A,no
142,"106.   All  of  the  following  comes  under  primary  prevention 
[Recent Question 2014]

except:",Pap smear,Helmets,Contraception,Vaccines,,C,no
143,"107.   Patient is on psychotherapy, what is the level of preven-
[Recent Question 2014]

tion",Primordial,Primary,Secondary,Tertiary,,A,no
144,"108.   Which of the following is an example of primary preven­
[PGMCET 2015]

tion?",Measles immunization,Cervical cytology screening,Smoking cessation after a heart attack,Self examination of breast for lumps,,C,no
145,"109.   Consider the following

1.  Health Education 
2.  Treatment of hypertension 

 110.  Which one of the following is primary prevention:",Active treatment,Vaccination,Screening,Rehabilitation,,A,no
146,111.   Prevention of emergence of risk factor is:,Primordial prevention,Primary prevention,Secondary prevention,"Tertiary prevention

[DNB 2001]

[DNB 2007]",,,yes
147,"112.   Iodine salt supplementation is: 

[UP 2000]",Specific protection,Primordial prevention,Decrease the deformity,Secondary prevention,,A,no
148,113.   All are health promotion strategies except:,Insecticides spray,Potable safe water supply,Life style modification,"Chemoprophylaxis

[Kerala 2001] [UP 2004]",,A,no
149,"114.   One of the following is an example for tertiary preven­
[AP 2000]

tion:",Vaccination,Immediate diagnosis and treatment,Rehabilitation,Health education,,D,no
150,"115.   Action which halts the progress of a disease at its inci­
[AP 2004]

pient stage and prevents complications:",Primary prevention,Primordial prevention,Secondary prevention,Tertiary prevention,,C,no
151,116.   The following does not determine specific protection:,"Pap smear for early detection of carcinoma cervix in 
[AP 2005]

community",Wearing of goggles by welders,Wearing of seat belts by car drivers,Vitamin A for children prophylaxis,,C,no
152,117.   Which is not included in primary prevention:,Health education,"Life-style modification

[Kolkata 2005]

66

mebooksfree.com

Review of Preventive and Social MedicineConcepts of Health and Disease",Immunization,"Nutritional supplementation

ICD – 10",,A,no
153,"118.   Health promotion includes all except:  

[Kolkata 2007]",Specific protection,Health education,Food fortification,Environment modification,,A,no
154,"119.   Primary prevention among following is: 

[MP 2002]",Disability limitation,Early diagnosis,Treatment,Immunization,,A,no
155,"120.   Which  of  the  following  is  a  primary  prevention  in 
[MP 2002]

polio:",Good sanitary measures,Rehabilitation,Provision of 3 doses of OPV in early infancy,Collection of stool sample for diagnosis,,D,no
156,"121.   When you immunize a child for measles what type of 

 127.  ICD­10 stands for: 

[AIIMS June 1997]","International Classification of Drugs, 10th  revision","International Classification of Disabilities,  

10th revision","International Classification of Diseases,  

10th revision","International Classification of Disasters,  

10th revision",,C,no
157,"128.   ICD­10 true is  

[Recent Question 2013]",Revised every 5 years,Consists of 10 chapters,Arranged in 3 volumes,Was produced by UNICEF,,C,no
